City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
83,Svetlogorsk,BY,52.63,29.73,52.81,82,56,11.16,broken clouds
84,Fukue,JP,32.69,128.84,62.31,67,78,32.39,broken clouds
85,Lengshuitan,CN,26.41,111.6,59.23,75,0,3.71,clear sky
86,Chokurdakh,RU,70.63,147.92,2.23,94,48,9.44,scattered clouds
87,Tasiilaq,GL,65.61,-37.64,37.4,64,100,34.45,light intensity shower rain
88,Kasongo,CD,-4.45,26.67,71.19,95,99,0.69,moderate rain
89,Dharchula,IN,29.85,80.53,57.0,42,1,5.59,clear sky
90,Axim,GH,4.87,-2.24,78.87,84,26,6.89,scattered clouds
91,Mbandaka,CD,0.05,18.26,74.48,90,91,1.72,overcast clouds
92,Bethel,US,41.37,-73.41,71.01,73,90,3.36,overcast clouds
93,Arraial Do Cabo,BR,-22.97,-42.03,78.8,57,40,17.22,scattered clouds
94,Marsaxlokk,MT,35.84,14.54,68.0,63,20,3.36,few clouds
95,Los Llanos De Aridane,ES,28.66,-17.92,73.4,56,75,6.93,broken clouds
96,Jamestown,US,42.1,-79.24,64.0,100,90,4.7,mist
97,Mar Del Plata,AR,-38.0,-57.56,55.99,93,90,10.29,drizzle
98,Vostok,RU,46.49,135.88,30.45,98,95,1.5,overcast clouds
99,Sungairaya,ID,0.7,108.9,79.79,83,99,4.99,overcast clouds
100,Anqing,CN,30.51,117.05,55.71,46,0,5.59,light rain
101,Souillac,MU,-20.52,57.52,75.2,73,40,9.17,scattered clouds
102,Belgrade,RS,44.8,20.47,57.2,62,0,1.9,clear sky
103,Turmalina,BR,-17.29,-42.73,81.37,53,92,5.82,overcast clouds
104,Vardo,NO,70.37,31.11,37.4,73,75,18.34,broken clouds
105,Sao Filipe,CV,14.9,-24.5,81.37,74,4,9.31,clear sky
106,Faanui,PF,-16.48,-151.75,78.57,77,18,10.58,few clouds
107,Cururupu,BR,-1.83,-44.87,82.67,77,93,6.2,light rain
108,Vao,NC,-22.67,167.48,73.49,87,90,16.69,overcast clouds
109,Beidao,CN,34.57,105.89,49.26,50,0,3.69,clear sky
110,Bagdarin,RU,54.43,113.6,23.14,90,2,1.57,clear sky
111,Creel,MX,27.75,-107.63,68.31,28,0,12.15,clear sky
112,Saint George,US,37.1,-113.58,60.8,21,1,2.26,clear sky
113,Avera,US,33.19,-82.53,78.8,74,90,9.17,overcast clouds
114,Nicolas De Pierola,PE,-11.95,-76.7,68.0,68,40,10.29,scattered clouds
115,Leningradskiy,RU,69.38,178.42,29.26,92,0,5.97,clear sky
116,Laguna,US,38.42,-121.42,69.01,25,1,17.22,clear sky
117,Itarema,BR,-2.92,-39.92,86.27,61,52,19.86,broken clouds
118,Porterville,US,36.07,-119.02,73.99,43,1,3.36,clear sky
119,Ambilobe,MG,-13.2,49.05,76.71,62,0,6.87,clear sky
120,Kamenka,RU,51.32,42.77,43.0,82,98,8.66,light rain
121,Hermanus,ZA,-34.42,19.23,64.0,81,0,4.0,clear sky
122,Bathsheba,BB,13.22,-59.52,87.8,66,40,13.87,scattered clouds
123,Chuy,UY,-33.7,-53.46,61.72,81,100,16.75,overcast clouds
124,Cortez,US,37.35,-108.59,66.0,18,1,12.53,clear sky
125,Byron Bay,AU,-28.65,153.62,64.4,88,90,3.69,overcast clouds
126,Butaritari,KI,3.07,172.79,81.46,76,51,9.6,broken clouds
127,Bramsche,DE,52.4,7.98,57.99,89,51,3.0,broken clouds
128,Port Blair,IN,11.67,92.75,80.94,84,38,12.15,moderate rain
129,East London,ZA,-33.02,27.91,69.8,83,0,9.17,clear sky
130,Wad Rawah,SD,15.16,33.14,90.23,18,1,7.14,clear sky
131,Raudeberg,NO,61.99,5.14,43.0,74,32,23.26,scattered clouds
132,Limon,CR,10.0,-83.03,86.0,66,0,5.82,clear sky
133,Taltal,CL,-25.4,-70.48,64.13,57,37,8.57,scattered clouds
134,Umm Kaddadah,SD,13.6,26.69,90.9,11,0,9.17,clear sky
135,Balasesti,RO,46.1,27.67,57.65,36,2,2.28,clear sky
136,Sungaipenuh,ID,-2.08,101.38,65.88,78,100,2.75,light rain
137,Yellowknife,CA,62.46,-114.35,23.0,85,90,8.05,light snow
138,Chissamba,AO,-12.17,17.33,70.03,68,91,3.94,overcast clouds
139,Ancud,CL,-41.87,-73.82,63.0,51,0,6.93,clear sky
140,Belz,FR,47.68,-3.17,59.0,78,0,2.93,clear sky
141,Upernavik,GL,72.79,-56.15,25.34,97,100,9.55,light snow
142,Muroto,JP,33.28,134.15,71.64,91,100,17.16,light rain
143,Meulaboh,ID,4.14,96.13,77.65,85,100,4.21,overcast clouds
144,Sechelt,CA,49.47,-123.77,46.0,84,98,1.01,overcast clouds
145,Oistins,BB,13.07,-59.53,87.8,66,40,13.87,scattered clouds
146,Seoul,KR,37.57,126.98,48.2,52,1,12.48,clear sky
147,Bluff,NZ,-46.6,168.33,50.0,90,100,1.99,light rain
148,Thompson,CA,55.74,-97.86,30.2,68,75,10.29,broken clouds
149,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,28.4,79,64,4.47,broken clouds
150,Ribeira Grande,PT,38.52,-28.7,66.2,59,75,9.17,broken clouds
151,Faya,SA,18.39,42.45,69.8,9,0,13.87,clear sky
152,Severo-Kurilsk,RU,50.68,156.12,43.07,78,100,6.4,overcast clouds
153,Broome,US,42.25,-75.83,69.8,73,90,5.82,overcast clouds
154,Ahipara,NZ,-35.17,173.17,59.05,93,87,6.15,light rain
155,Lehtmetsa,EE,59.32,25.35,53.6,93,90,19.46,overcast clouds
156,Guerrero Negro,MX,27.98,-114.06,73.22,61,72,9.15,broken clouds
157,Sawakin,SD,19.11,37.33,82.42,67,0,4.92,clear sky
158,Xingyi,CN,24.19,102.82,44.2,76,84,2.62,broken clouds
159,Lorengau,PG,-2.02,147.27,80.98,74,19,6.93,light rain
160,Quatre Cocos,MU,-20.21,57.76,75.2,73,40,9.17,scattered clouds
161,Half Moon Bay,US,37.46,-122.43,71.01,77,5,1.59,clear sky
162,Kyra,RU,49.58,111.98,28.38,91,0,2.35,clear sky
163,Lubango,AO,-14.92,13.49,80.6,66,20,9.17,few clouds
164,Jutai,BR,-5.18,-68.9,77.38,88,100,2.91,overcast clouds
165,Uchiza,PE,-8.46,-76.46,81.7,68,73,1.34,light rain
166,Hithadhoo,MV,-0.6,73.08,83.34,75,5,16.4,clear sky
