City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
102,Belgrade,RS,57.2,clear sky,44.8,20.47,Saruna Wellness - Hotel Park Belgrade
103,Turmalina,BR,81.37,overcast clouds,-17.29,-42.73,Hotel Cristal
105,Sao Filipe,CV,81.37,clear sky,14.9,-24.5,Tortuga B&B
106,Faanui,PF,78.57,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Cururupu,BR,82.67,light rain,-1.83,-44.87,Pousada Través'cia
108,Vao,NC,73.49,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
109,Beidao,CN,49.26,clear sky,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
111,Creel,MX,68.31,clear sky,27.75,-107.63,The Lodge at Creel Hotel & SPA
112,Saint George,US,60.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
114,Nicolas De Pierola,PE,68.0,scattered clouds,-11.95,-76.7,HOSTAL ELEGANCIA
116,Laguna,US,69.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
117,Itarema,BR,86.27,broken clouds,-2.92,-39.92,Windvillage
118,Porterville,US,73.99,clear sky,36.07,-119.02,Holiday Inn Express & Suites Porterville
119,Ambilobe,MG,76.71,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
121,Hermanus,ZA,64.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
122,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
123,Chuy,UY,61.72,overcast clouds,-33.7,-53.46,Nuevo Hotel Plaza
124,Cortez,US,66.0,clear sky,37.35,-108.59,Sand Canyon National 9 Inn
125,Byron Bay,AU,64.4,overcast clouds,-28.65,153.62,Backpackers Inn on the Beach
126,Butaritari,KI,81.46,broken clouds,3.07,172.79,Isles Sunset Lodge
127,Bramsche,DE,57.99,broken clouds,52.4,7.98,IDINGSHOF Hotel & Restaurant
128,Port Blair,IN,80.94,moderate rain,11.67,92.75,Fortune Resort Bay Island
129,East London,ZA,69.8,clear sky,-33.02,27.91,Tu Casa
131,Raudeberg,NO,43.0,scattered clouds,61.99,5.14,Nordre Silda.
132,Limon,CR,86.0,clear sky,10.0,-83.03,Hotel Playa Bonita
133,Taltal,CL,64.13,scattered clouds,-25.4,-70.48,Residencial Karime
136,Sungaipenuh,ID,65.88,light rain,-2.08,101.38,Hotel Jaya Wisata 2
139,Ancud,CL,63.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
140,Belz,FR,59.0,clear sky,47.68,-3.17,L'Arbre Voyageur
142,Muroto,JP,71.64,light rain,33.28,134.15,Oota Ryokan
143,Meulaboh,ID,77.65,overcast clouds,4.14,96.13,Kost Pria
144,Sechelt,CA,46.0,overcast clouds,49.47,-123.77,The Driftwood Inn
145,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
146,Seoul,KR,48.2,clear sky,37.57,126.98,LOTTE HOTEL SEOUL
147,Bluff,NZ,50.0,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
150,Ribeira Grande,PT,66.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
151,Faya,SA,69.8,clear sky,18.39,42.45,مقبرة ال مجمل
152,Severo-Kurilsk,RU,43.07,overcast clouds,50.68,156.12,Kak Doma
153,Broome,US,69.8,overcast clouds,42.25,-75.83,Chenango Valley State Park
154,Ahipara,NZ,59.05,light rain,-35.17,173.17,Ahipara Holiday Park
155,Lehtmetsa,EE,53.6,overcast clouds,59.32,25.35,Pähklimetsa talu
156,Guerrero Negro,MX,73.22,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
157,Sawakin,SD,82.42,clear sky,19.11,37.33,فندق الدويم
159,Lorengau,PG,80.98,light rain,-2.02,147.27,Lorengau Harbourside Hotel
160,Quatre Cocos,MU,75.2,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
161,Half Moon Bay,US,71.01,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
163,Lubango,AO,80.6,few clouds,-14.92,13.49,Hotel Serra da Chela
165,Uchiza,PE,81.7,light rain,-8.46,-76.46,Hotel El Rancho
